Token;Label;accord
PTITB;MISC;PER
JLANN;;
"
";;
IL;;
DRV0IR;;
.;;
"
";;
PHEIIIkI;MISC;NA
PAIII;;
.;;
"
";;
EMANCE;PER;NA
DE;PER;NA
JEANME;PER;PER
0;;
"
";;
a;;PER
mbre;PER;PER
Nannette;PER;PER
.;;
"
";;
Il;;
y;;
avait;;
dans;;
un;;
bousrg;;
du;;
dpartenent;;
du;;
"
";;
tCher;;LOC
une;;
bonne;;
veuve;;
ag6e;MISC;NA
de;MISC;NA
soixante;MISC;NA
ans;MISC;NA
0;;
qu';;
on;;
"
";;
appelait;;
la;;PER
mbre;LOC;PER
Nunnette;LOC;PER
.;;
Llle;LOC;NA
poss6dait;;
une;;
petite;;
"
";;
maison;;
aves;;
une;;
petite;;
chneire;LOC;NA
et;;
un;;
jardin;;
"
";;
plante;;
de;;
pommiers;;
0;;
de;;
pruniers;;
et;;
de;;
groseilliers;;
.;;
"
";;
Du;;
cbt6;;
du;;
chemin;;
0;;
un;;
gros;;
noyer;;
0;;
qui;;
avait;;
plus;;
"
";;
de;;
cent;;
ans;;
0;;
ombruageait;;
le;;
davant;;
de;;
sa;;
porte;;
.;;
"
";;
Quand;;
les;;
fleurs;;
de;;
cet;;
arbre;;
ne;;
gelaient;;
pas;;
au;;
"
";;
printemps;;
0;;
il;;
donnait;;
assez;;
de;;
noix;;
a;;
la;;PER
mere;;PER
];;
"
";;
Nannette;LOC;PER
pour;;
qu';;
elle;;
et;;
sa;;
provision;;
d';;
huile;;
l';;
an-;;
];;
"
";;
nee;PER;NA
suivante;PER;NA
.;;
Sil;;
se;;
faisait;;
deux;;
bonnes;;
r6eoltes;;
"
";;
de;;
suite;;
0;;
elle;;
vendait;;
une;;
partie;;
des;;
noix;;
0;;
ce;;
qui;;
"
";;
lui;;
donnait;;
un;;
petit;;
profit;;
.;;
Quoiquell;;
poss6dht;;
"
";;
une;;
vigne;;
et;;
un;;
bssu;MISC;NA
morceau;;
de;;
terre;;
0;;
elle;;
n';;
a-;;
"
";;
vait;;
qe;ORG;NA
bien;;
juste;;
ee;;
qu';;
il;;
lui;;
fllait;;
pour;;
vire;LOC;NA
.;;
PREMIIRR;MISC;NA
PAHR;MISC;NA
.;;
"
";;
lla;;
samait;;
du;;
fromant;;
daux;;
anneas;;
de;;
suite;;
dans;;
"
";;
eon;PER;NA
ehamp;PER;NA
0;;
gqui;;
0;;
la;;
troisime;;
0;;
rapportait;;
alterna-;;
"
";;
tivement;;
du;;
trbfle;;
et;;
des;;
pmmes;;
do;;
tenre;;
.;;
Klle;PER;NA
"
";;
resoltait;;
asse;;
de;;
hl6;LOC;NA
pour;;
so;;
nourrir;;
pondant;;
0;;
les;;
"
";;
trois;;
ans;;
.;;
ais;;
si;;
lanne;PER;NA
atait;PER;NA
mauvaise;PER;NA
0;;
la;;PER
mbre;;PER
"
";;
Nannetts;LOC;PER
venduit;;
la;;
pibce;;
de;;
toile;;
quelle;;
avait;;
fait;;
"
";;
faire;;
aveoe;;
le;;
ohanvre;;
amass;;
et;;
fll6;MISC;NA
pandant;MISC;NA
quuatra;;
"
";;
uns;;
.;;
Largent;;
quella;;
en;;
retirait;;
lui;;
servait;;
a;;
com-;;
"
";;
plter;;
sa;;
provision;;
de;;
bl6;LOC;NA
";";;
et;;
0;;
mlgr6;;
tout;;
cela;;
0;;
"
";;
elle;;
ptiassit;;
bien;;
un;;
peu;;
l';;
hiver;;
.;;
"
";;
Pour;;
que;;
In;MISC;NA
terre;MISC;NA
rapporte;;
chaque;;
annee;;
sans;;
"
";;
se;;
reposer;;
0;;
il;;
faut;;
baaucoup;;
de;;
fumier;;
";";;
la;;PER
mre;;PER
"
";;
Nannette;LOC;PER
0;;
qui;;
le;;
savait;;
bien;;
0;;
avait;;
une;;
vache;;
et;;
"
";;
une;;
ohbvre;;
quelle;;
menait;;
paltre;;
sur;;
les;;
commu-;;
"
";;
naux;;
et;;
le;;
long;;
des;;
haies;;
.;;
Avee;LOC;NA
leur;;
lait;;
elle;;
faisait;;
"
";;
du;;
beurre;;
et;;
des;;
fromages;;
0;;
quelle;;
vendait;;
h;;
la;;
"
";;
ville;;
voisine;;
.;;
Quand;;
ses;;
b8tes;;
etaient;;
rentres;;
"
";;
l6table;;
0;;
elle;;
allait;;
chereher;LOC;NA
pour;;
elles;;
de;;
lherhe;;
"
";;
dans;;
les;;
ehamps;;
et;;
au;;
bord;;
des;;
ruisseaux;;
.;;
Commae;LOC;NA
"
";;
elle;;
les;;
tenait;;
bien;;
proprement;;
0;;
elles;;
etaient;;
en;;
bon;;
"
";;
6tat;;
.;;
Lhiver;;
0;;
elles;;
mangeaient;;
ou;;
du;;
trfle;PER;NA
qui;;
"
";;
avait;;
6te;;
rentr6;;
bien;;
seo;;
0;;
ou;;
du;;
regain;;
recolt6;;
aprs;;
"
";;
li;PER;NA
fuche;PER;NA
des;;
grands;;
foins;;
.;;
"
";;
lLa;;PER
mbre;;PER
Nannette;LOC;PER
