Token_7,Label_7,Token_6,Label_6,Token_5,Label_5,Token_4,Label_4,Token_1,Label_1,Token_2,Label_2,Token_3,Label_3
JEANME,PER,JEANME,PER,JEANME,PER,JEANME,PER,JEANME,PER,JEANME,PER,JEANME,PER
mbre,PER,mbre,PER,mbre,PER,mbre,PER,mbre,PER,mbre,PER,mbre,LOC
Nunnette,PER,Nunnette,PER,Nunnette,PER,Nunnette,PER,Nunnette,PER,Nunnette,PER,Nunnette,PER
Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER
Nannetts,PER,Nannetts,PER,Nannetts,PER,Nannetts,PER,Nannetts,PER,Nannetts,PER,Nannetts,PER
la,PER,la,PER,la,PER,la,PER,la,PER,la,PER,la,PER
mre,PER,mre,PER,mre,PER,mre,PER,mre,PER,mre,PER,mre,PER
Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER
lLa,PER,lLa,PER,lLa,PER,lLa,PER,lLa,PER,lLa,PER,lLa,PER
mbre,PER,mbre,PER,mbre,PER,mbre,PER,mbre,PER,mbre,PER,mbre,PER
Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER
Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER
Noel.rREMII,MISC,Noel.rREMII,MISC,Noel.rREMII,MISC,Noel.rREMII,MISC,Noel.rREMII,MISC,Noel.rREMII,MISC,Noel.rREMII,MISC
la,PER,la,PER,la,PER,la,PER,la,PER,la,PER,la,PER
mbre,PER,mbre,PER,mbre,PER,mbre,PER,mbre,PER,mbre,PER,mbre,PER
Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER,Nannette,PER
Ia,PER,Ia,PER,Ia,PER,Ia,PER,Ia,PER,Ia,PER,Ia,PER
mre,PER,mre,PER,mre,PER,mre,PER,mre,PER,mre,PER,mre,PER
